-36.0,-64.0,-71.0,-81.0,-71.0,1
-40.0,-68.0,-73.0,-78.0,-73.0,1
-34.0,-62.0,-69.0,-78.0,-74.0,1
-35.0,-71.0,-73.0,-80.0,-72.0,1
-35.0,-72.0,-72.0,-71.0,-73.0,1
-36.0,-70.0,-73.0,-71.0,-76.0,1
-36.0,-70.0,-77.0,-81.0,-68.0,1
-36.0,-67.0,-69.0,-84.0,-72.0,1
-52.0,-71.0,-70.0,-78.0,-78.0,1
-56.0,-69.0,-73.0,-77.0,-74.0,1
-56.0,-69.0,-71.0,-77.0,-71.0,1
-61.0,-70.0,-69.0,-77.0,-71.0,1
-54.0,-70.0,-67.0,-85.0,-68.0,1
-51.0,-70.0,-65.0,-85.0,-68.0,1
-55.0,-68.0,-65.0,-81.0,-69.0,1
-53.0,-65.0,-69.0,-74.0,-71.0,1
-53.0,-65.0,-69.0,-74.0,-71.0,1
-44.0,-61.0,-69.0,-77.0,-70.0,1
-47.0,-61.0,-72.0,-74.0,-69.0,1
-48.0,-62.0,-72.0,-73.0,-73.0,1
-49.0,-61.0,-72.0,-72.0,-69.0,1
-48.0,-59.0,-68.0,-80.0,-67.0,1
-46.0,-59.0,-66.0,-80.0,-67.0,1
-42.0,-69.0,-66.0,-74.0,-65.0,1
-45.0,-69.0,-66.0,-73.0,-64.0,1
-43.0,-68.0,-67.0,-78.0,-64.0,1
-50.0,-60.0,-68.0,-69.0,-62.0,2
-46.0,-59.0,-66.0,-68.0,-62.0,2
-57.0,-59.0,-66.0,-64.0,-58.0,2
-57.0,-57.0,-69.0,-66.0,-60.0,2
-58.0,-69.0,-70.0,-80.0,-57.0,2
-58.0,-68.0,-71.0,-72.0,-58.0,2
-52.0,-60.0,-73.0,-75.0,-58.0,2
-52.0,-57.0,-69.0,-71.0,-60.0,2
-51.0,-57.0,-73.0,-71.0,-57.0,2
-59.0,-62.0,-70.0,-74.0,-56.0,2
-65.0,-65.0,-66.0,-66.0,-59.0,2
-51.0,-63.0,-70.0,-66.0,-61.0,2
-49.0,-67.0,-73.0,-65.0,-61.0,2
