-45.0,-67.0,-72.0,-78.0,-64.0,1
-46.0,-67.0,-73.0,-76.0,-64.0,1
-46.0,-67.0,-74.0,-75.0,-64.0,1
-39.0,-70.0,-74.0,-72.0,-72.0,1
-48.0,-67.0,-70.0,-74.0,-78.0,1
-45.0,-74.0,-67.0,-74.0,-78.0,1
-49.0,-66.0,-65.0,-70.0,-73.0,1
-64.0,-57.0,-67.0,-69.0,-63.0,2
-57.0,-57.0,-68.0,-71.0,-62.0,2
-57.0,-58.0,-68.0,-71.0,-66.0,2
-58.0,-58.0,-68.0,-71.0,-66.0,2
-53.0,-60.0,-70.0,-80.0,-65.0,2
-57.0,-68.0,-77.0,-75.0,-64.0,2
-57.0,-59.0,-66.0,-74.0,-56.0,2
-57.0,-58.0,-64.0,-78.0,-53.0,2
-62.0,-66.0,-65.0,-70.0,-48.0,3
-59.0,-56.0,-69.0,-74.0,-47.0,3
-62.0,-56.0,-70.0,-73.0,-47.0,3
-59.0,-59.0,-70.0,-65.0,-55.0,3
-56.0,-57.0,-58.0,-62.0,-57.0,3
-53.0,-57.0,-60.0,-63.0,-56.0,3
-61.0,-58.0,-64.0,-61.0,-58.0,3
-69.0,-58.0,-65.0,-59.0,-58.0,3
-57.0,-57.0,-64.0,-65.0,-58.0,3
-60.0,-58.0,-75.0,-67.0,-60.0,3
-64.0,-53.0,-63.0,-62.0,-58.0,3
-57.0,-53.0,-63.0,-63.0,-58.0,3
-56.0,-53.0,-62.0,-64.0,-58.0,3
-54.0,-52.0,-62.0,-64.0,-59.0,3
-55.0,-54.0,-62.0,-68.0,-59.0,3
-55.0,-50.0,-62.0,-67.0,-60.0,3
-71.0,-61.0,-62.0,-39.0,-76.0,4
-78.0,-64.0,-53.0,-40.0,-76.0,4
-80.0,-72.0,-53.0,-40.0,-76.0,4
-75.0,-76.0,-51.0,-42.0,-76.0,4
-77.0,-69.0,-55.0,-39.0,-73.0,4
-76.0,-67.0,-52.0,-37.0,-75.0,4
-71.0,-74.0,-59.0,-45.0,-79.0,4
-71.0,-75.0,-59.0,-45.0,-79.0,4
-69.0,-54.0,-40.0,-53.0,-78.0,5
-70.0,-54.0,-36.0,-52.0,-78.0,5
-79.0,-73.0,-36.0,-65.0,-79.0,5
-74.0,-70.0,-36.0,-64.0,-83.0,5
-70.0,-63.0,-38.0,-64.0,-78.0,5
-72.0,-65.0,-35.0,-60.0,-73.0,5
-70.0,-61.0,-35.0,-56.0,-73.0,5
-72.0,-61.0,-36.0,-52.0,-75.0,5
-72.0,-60.0,-37.0,-50.0,-77.0,5
-75.0,-64.0,-33.0,-61.0,-77.0,5
-74.0,-62.0,-35.0,-59.0,-76.0,5
-77.0,-62.0,-36.0,-63.0,-76.0,5
-78.0,-62.0,-43.0,-62.0,-74.0,5
-82.0,-72.0,-59.0,-53.0,-82.0,6
-76.0,-80.0,-64.0,-45.0,-79.0,6
-81.0,-75.0,-61.0,-45.0,-77.0,6
-75.0,-66.0,-56.0,-43.0,-76.0,6
-75.0,-63.0,-56.0,-41.0,-84.0,6
-72.0,-67.0,-52.0,-44.0,-80.0,6
-72.0,-66.0,-52.0,-45.0,-81.0,6
-76.0,-70.0,-54.0,-49.0,-81.0,6
-76.0,-70.0,-54.0,-54.0,-77.0,6
-76.0,-73.0,-54.0,-53.0,-77.0,6
-84.0,-72.0,-54.0,-55.0,-73.0,6
-84.0,-71.0,-56.0,-55.0,-77.0,6
-85.0,-70.0,-55.0,-55.0,-75.0,6
